奉贈韋左丞丈二十二韻 // 0276 0001,中7.2251,中PDF7.30,揚31.4
送高三十五書記 // 0388 0002,中7.2252,中PDF7.31,揚31.5
贈李白 // 0076 0003,中7.2252,中PDF7.31,揚31.5
遊龍門奉先寺 // 0042 0004,中7.2253,中PDF7.32,揚31.5
望嶽 // 0003 0005,中7.2253,中PDF7.32,揚31.6
陪李北海宴歷下亭 // 0079 0006,中7.2253,中PDF7.32,揚31.6
同李太守登歷下古城員外新亭亭對鵲湖 // 0084 0007,中7.2253,中PDF7.32,揚31.6
玄都壇歌寄元逸人 // 0271 0008,中7.2253,中PDF7.32,揚31.6
今夕行 // 0144 0009,中7.2254,中PDF7.33,揚31.7
貧交行 // 0317 0010,中7.2254,中PDF7.33,揚31.7
兵車行 // 0229 0011,中7.2254,中PDF7.33,揚31.7
高都護驄馬行 // 0167 0012,中7.2255,中PDF7.34,揚31.8
天育驃騎歌 // 0549 0013,中7.2255,中PDF7.34,揚31.8
白絲行 // 0319 0014,中7.2255,中PDF7.34,揚31.8
秋雨歎三首 // 0465-1 0015-1,中7.2256,中PDF7.35,揚31.9
秋雨歎三首 // 0465-2 0015-2,中7.2256,中PDF7.35,揚31.9
秋雨歎三首 // 0465-3 0015-3,中7.2256,中PDF7.35,揚31.9
歎庭前甘菊花 // 0490 0016,中7.2256,中PDF7.35,揚31.9
醉時歌 // 0409 0017,中7.2256,中PDF7.35,揚31.9
醉歌行 // 0598 0018,中7.2257,中PDF7.36,揚31.10
贈衞八處士 // 1324 0019,中7.2257,中PDF7.36,揚31.10
苦雨奉寄隴西公兼呈王徵士 // 0476 0020,中7.2258,中PDF7.37,揚31.11
同諸公登慈恩寺塔 // 0295 0021,中7.2258,中PDF7.37,揚31.11
示從孫濟 // 0501 0022,中7.2258,中PDF7.37,揚31.11
九日寄岑參 // 0484 0023,中7.2258,中PDF7.37,揚31.12
送孔巢父謝病歸遊江東兼呈李白 // 0111 0024,中7.2259,中PDF7.38,揚31.12
飲中八仙歌 // 0136 0025,中7.2259,中PDF7.38,揚31.13
曲江三章章五句 // 0305-1 0026-1,中7.2260,中PDF7.39,揚31.13
曲江三章章五句 // 0305-2 0026-2,中7.2260,中PDF7.39,揚31.13
曲江三章章五句 // 0305-3 0026-3,中7.2260,中PDF7.39,揚31.13
麗人行 // 0342 0027,中7.2260,中PDF7.39,揚31.13
樂遊園歌 // 0214 0028,中7.2260,中PDF7.39,揚31.14
渼陂行 // 0443 0029,中7.2261,中PDF7.40,揚31.14
渼陂西南臺 // 0456 0030,中7.2261,中PDF7.40,揚31.15
戲簡鄭廣文虔兼呈蘇司業源明 // 0576 0031,中7.2262,中PDF7.41,揚31.15
夏日李公見訪 // 0462 0032,中7.2262,中PDF7.41,揚31.15
奉同郭給事湯東靈湫作 // 0656 0033,中7.2262,中PDF7.41,揚31.16
