杜詩詳註卷之一
遊龍門奉先寺 // 0042 1.1,PDF1.74,津PDF2.2,PDF1.82
望嶽 // 0003 1.3,PDF1.76,津PDF2.4,PDF1.84
登兖州城樓 // 0008 1.5,PDF1.78,津PDF2.5,PDF1.86
題張氏隱居二首 // 0013 1.8,PDF1.81,津PDF2.7,PDF1.88
劉九法曹鄭瑕丘石門宴集 // 0022 1.12,PDF1.85,津PDF2.10,PDF1.92
與任城許主簿遊南池 // 0025 1.14,PDF1.87,津PDF2.11,PDF1.93
對雨書懷走邀許主簿 // 0027 1.15,PDF1.88,津PDF2.12,PDF1.94
巳上人茅齋 // 0030 1.16,PDF1.89,津PDF2.12,PDF1.96
房兵曹胡馬 // 0034 1.18,PDF1.91,津PDF2.13,PDF1.97
畫鷹 // 0038 1.19,PDF1.92,津PDF2.14,PDF1.98
過宋員外之問舊莊 // 0048 1.20,PDF1.93,津PDF2.15,PDF1.99
夜宴左氏莊 // 0068 1.22,PDF1.95,津PDF2.16,PDF1.100
臨邑舍弟書至苦雨黄河泛溢隄防之患簿領所憂因寄此詩用寬其意 // 0053 1.23,PDF1.96,津PDF2.17,PDF1.102
假山 // 0059 1.28,PDF1.101,津PDF2.20,PDF1.105
龍門 // 0073 1.29,PDF1.102,津PDF2.21,PDF1.107
李監宅二首 // 0062 1.30,PDF1.103,津PDF2.21,PDF1.108
贈李白 // 0076 1.32,PDF1.105,津PDF2.23,PDF1.110
重題鄭氏東亭 // 1276 1.34,PDF1.107,津PDF2.24,PDF1.111
陪李北海宴歷下亭 // 0079 1.36,PDF1.109,津PDF2.25,PDF1.112
同李太守登歷下古城員外新亭 // 0084 1.38,PDF1.111,津PDF2.26,PDF1.114
暫如臨邑至㟙山湖亭奉懷李員外率爾成興 // 0092 1.41,PDF1.114,津PDF2.28,PDF1.117
贈李白 // 0099 1.42,PDF1.115,津PDF2.28,PDF1.118
與李十二白同尋范十隱居 // 0095 1.45,PDF1.118,津PDF2.31,PDF1.120
鄭駙馬宅宴洞中 // 0120 1.46,PDF1.119,津PDF2.32,PDF1.122
冬日有懷李白 // 0103 1.50,PDF1.123,津PDF2.34,PDF1.125
春日憶李白 // 0107 1.52,PDF1.125,津PDF2.35,PDF1.126
送孔巢父謝病歸游江東兼呈李白 // 0111 1.54,PDF1.127,津PDF2.37,PDF1.128
今夕行 // 0144 1.58,PDF1.131,津PDF2.40,PDF1.132
贈特進汝陽王二十韻 // 0126 1.60,PDF1.133,津PDF2.42,PDF1.134
贈比部蕭郎中十兄 // 0148 1.66,PDF1.139,津PDF2.45,PDF1.138
奉寄河南韋尹丈人 // 0161 1.68,PDF1.141,津PDF2.46,PDF1.140
贈韋左丞丈濟 // 0209 1.71,PDF1.144,津PDF2.48,PDF1.143
奉贈韋左丞丈二十二韻 // 0276 1.73,PDF1.146,津PDF2.49,PDF1.145

杜詩詳註卷之二
飲中八仙歌 // 0136 1.81,PDF1.154,津PDF2.55,PDF1.152
高都護驄馬行 // 0167 1.86,PDF1.159,津PDF2.58,PDF1.156
冬日洛城北謁玄元皇帝廟 // 0173 1.89,PDF1.162,津PDF2.60,PDF1.159
故武衞將軍挽詞三首 // 0152 1.94,PDF1.167,津PDF2.64,PDF1.164
