杜工部詩集卷之一
開元天寶間公居東都遊齊趙及歸京師作
遊龍門奉先寺 // 0042 PDF75,哈PDF50
望嶽 // 0003 PDF76,哈PDF51
登兖州城樓 // 0008 PDF76,哈PDF51
題張氏隱居二首 // 0013 PDF77,哈PDF52
劉九法曹鄭瑕丘石門宴集 // 0022 PDF78,哈PDF53
與任城許主簿遊南池 // 0025 PDF78,哈PDF53
對雨書懷走邀許主簿 // 0027 PDF79,哈PDF54
巳上人茅齋 // 0030 PDF79,哈PDF54
房兵曹胡馬 // 0034 PDF80,哈PDF55
畫鷹 // 0038 PDF81,哈PDF55
過宋員外之問舊莊 // 0048 PDF81,哈PDF56
夜宴左氏莊 // 0068 PDF82,哈PDF57
臨邑舍弟書至苦雨黃河泛溢隄防之患簿領所憂因寄此詩用寬其意 // 0053 PDF82,哈PDF57
天寶初南曹小司寇舅於我太夫人堂下壘土爲山一匱盈尺以代彼朽木承諸焚香瓷甌甌甚安矣旁植慈竹蓋茲數峰嶔岑嬋娟宛有塵外數致乃不知興之所至而作是詩 // 0059 PDF84,哈PDF58
龍門 // 0073 PDF84,哈PDF59
李監宅二首 // 0062 PDF85,哈PDF59
贈李白 // 0076 PDF86,哈PDF60
陪李北海宴歷下亭 // 0079 PDF87,哈PDF61
同李太守登歷下古城員外新亭 // 0084 PDF87,哈PDF62
暫如臨邑至㟙山湖亭奉懷李員外率爾成興 // 0092 PDF89,哈PDF63
贈李白 // 0099 PDF89,哈PDF63
與李十二白同尋范十隱居 // 0095 PDF90,哈PDF64
重題鄭氏東亭 // 1276 PDF90,哈PDF64
鄭駙馬宅宴洞中 // 0120 PDF91,哈PDF65
高都護驄馬行 // 0167 PDF92,哈PDF66
贈翰林張四學士垍 // 0204 PDF93,哈PDF67
贈特進汝陽王二十韻 // 0126 PDF94,哈PDF68
飲中八仙歌 // 0136 PDF96,哈PDF70
今夕行 // 0144 PDF98,哈PDF72
奉寄河南韋尹丈人 // 0161 PDF99,哈PDF73
贈韋左丞丈濟 // 0209 PDF100,哈PDF74
奉贈韋左丞丈二十二韻 // 0276 PDF101,哈PDF75
冬日洛城北謁玄元皇帝廟 // 0173 PDF103,哈PDF77
敬贈鄭諫議十韻 // 0311 PDF106,哈PDF80
贈陳二補闕 // 0400 PDF107,哈PDF81
贈比部蕭郎中十兄 // 0148 PDF107,哈PDF82
冬日有懷李白 // 0103 PDF108,哈PDF82
春日憶李白 // 0107 PDF109,哈PDF83
送孔巢父謝病歸遊江東兼呈李白 // 0111 PDF109,哈PDF84
兵車行 // 0229 PDF111,哈PDF85
同諸公登慈恩寺塔 // 0295 PDF112,哈PDF87
病後過王倚飲贈歌 // 0223 PDF114,哈PDF89
示從孫濟 // 0501 PDF115,哈PDF90
杜位宅守歲 // 0266 PDF116,哈PDF90
玄都壇歌寄元逸人 // 0271 PDF117,哈PDF91

杜工部詩集卷之二
天寶中公在京師作
樂遊園歌 // 0214 PDF119,哈PDF95
曲江三章章五句 // 0305 PDF120,哈PDF97
貧交行 // 0317 PDF121,哈PDF97
白絲行 // 0319 PDF121,哈PDF98
前出塞九首 // 0241 PDF122,哈PDF98
送裴二虬作尉永嘉 // 0481 PDF124,哈PDF101
送張二十參軍赴蜀州因呈楊五侍御 // 0403 PDF125,哈PDF101
送韋書記赴安西 // 0326 PDF125,哈PDF101
奉贈鮮于京兆二十韻 // 0328 PDF126,哈PDF102
奉畱贈集賢院崔于二學士 // 0288 PDF128,哈PDF104
投贈哥舒開府翰二十韻 // 0563 PDF129,哈PDF105
歎庭前甘菊花 // 0490 PDF131,哈PDF108
醉時歌 // 0409 PDF132,哈PDF108
醉歌行 // 0598 PDF133,哈PDF109
麗人行 // 0342 PDF134,哈PDF110
陪李金吾花下飲 // 0605 PDF136,哈PDF112
陪鄭廣文遊何將軍山林十首 // 0356 PDF136,哈PDF113
重過何氏五首 // 0419 PDF140,哈PDF116
陪諸貴公子丈八溝攜妓納凉晚際遇雨二首 // 0438 PDF142,哈PDF118
九日曲江 // 0396 PDF143,哈PDF119
贈獻納使起居田舍人澄 // 0536 PDF143,哈PDF119
崔駙馬山亭宴集 // 0499 PDF144,哈PDF120
送高三十五書記十五韻 // 0388 PDF145,哈PDF120
寄高三十五書記 // 0406 PDF146,哈PDF121
贈高式顔 // 4209 PDF147,哈PDF122
與鄠縣源大少府宴渼陂得寒字 // 0452 PDF147,哈PDF122
城西陂泛舟 // 0434 PDF148,哈PDF123
渼陂行 // 0443 PDF148,哈PDF123
渼陂𠧧南臺 // 0456 PDF149,哈PDF124
九日寄岑參 // 0484 PDF151,哈PDF126
承沈八丈東美除膳部員外郎阻雨未遂馳賀奉寄此詩 // 0494 PDF151,哈PDF126
苦雨奉寄隴西公兼呈王徵士 // 0476 PDF152,哈PDF127
秋雨歎三首 // 0465 PDF153,哈PDF128
奉贈太常張卿垍二十韻 // 0506 PDF154,哈PDF129
上韋左相二十韻 // 0581 PDF156,哈PDF132
夜聽許十一誦詩愛而有作 // 0592 PDF159,哈PDF134
戲簡鄭廣文兼呈蘇司業 // 0576 PDF160,哈PDF135
夏日李公見訪 // 0462 PDF160,哈PDF136
天育驃騎歌 // 0549 PDF161,哈PDF136
沙苑行 // 0541 PDF162,哈PDF138
驄馬行 // 0608 PDF164,哈PDF139
魏將軍歌 // 0615 PDF165,哈PDF140

杜工部詩集卷之三
天寶至德間公居京師授率府參軍及陷賊中間歸鳳翔官左拾遺作
贈田九判官梁丘 // 0557 PDF167,哈PDF149
送蔡希魯都尉還隴右因寄高三十五書記 // 0622 PDF168,哈PDF150
故武衞將軍挽詞三首 // 0152 PDF169,哈PDF151
去矣行 // 0652 PDF170,哈PDF152
官定後戲贈 // 0633 PDF170,哈PDF152
奉同郭給事湯東靈湫作 // 0656 PDF171,哈PDF153
九日楊奉先會白水崔明府 // 0627 PDF174,哈PDF156
白水明府舅宅喜雨得過字 // 0631 PDF174,哈PDF156
橋陵詩三十韻因呈縣內諸官 // 0515 PDF175,哈PDF157
自京赴奉先縣詠懷五百字 // 0668 PDF177,哈PDF159
奉先劉少府新畫山水障歌 // 0527 PDF179,哈PDF162
白水崔少府十九翁高齋三十韻 // 0715 PDF181,哈PDF163
三川觀水漲二十韻 // 0725 PDF182,哈PDF165
悲陳陶 // 0737 PDF184,哈PDF166
悲青坂 // 0742 PDF184,哈PDF167
對雪 // 0748 PDF185,哈PDF167
月夜 // 0733 PDF185,哈PDF168
蘇端薛復筵簡薛華醉歌 // 0695 PDF186,哈PDF168
元日寄韋氏妹 // 0752 PDF187,哈PDF169
春望 // 0779 PDF187,哈PDF170
得舍弟消息二首 // 0783 PDF188,哈PDF170
憶幼子 // 0786 PDF188,哈PDF170
一百五日夜對月 // 0789 PDF189,哈PDF171
遣興 // 0794 PDF189,哈PDF171
塞蘆子 // 0755 PDF190,哈PDF171
哀江頭 // 0760 PDF191,哈PDF173
哀王孫 // 0771 PDF193,哈PDF175
大雲寺賛公房四首 // 0797 PDF194,哈PDF176
雨過蘇端 // 0809 PDF197,哈PDF179
喜晴 // 0813 PDF197,哈PDF179
晦日尋崔戢李封 // 0703 PDF198,哈PDF180
送率府程錄事還鄕 // 0710 PDF199,哈PDF181
鄭駙馬池臺喜遇鄭廣文同飲 // 0819 PDF200,哈PDF182
喜達行在所三首 // 0824 PDF200,哈PDF183
述懷 // 0841 PDF202,哈PDF184
得家書 // 0868 PDF202,哈PDF184
送長孫九侍御赴武威判官 // 0848 PDF203,哈PDF185
送樊二十三侍御赴漢中判官 // 0833 PDF204,哈PDF186
送從弟亞赴河西判官 // 0853 PDF206,哈PDF188
送韋十六評事充同谷郡防禦判官 // 0861 PDF207,哈PDF189
奉送郭中丞兼太僕卿充隴右節度使三十韻 // 0875 PDF208,哈PDF191
送楊六判官使西蕃 // 0890 PDF211,哈PDF193

杜工部詩集卷之四
至德乾元間公官左拾遺作
奉贈嚴八閣老 // 0899 PDF213,哈PDF197
月 // 0871 PDF214,哈PDF198
畱别賈嚴二閣老兩院補闕得雲字 // 0902 PDF214,哈PDF198
晚行口號 // 0917 PDF214,哈PDF199
獨酌成詩 // 0922 PDF215,哈PDF199
徒步歸行 // 0909 PDF215,哈PDF199
九成宮 // 0904 PDF216,哈PDF200
玉華宮 // 0912 PDF217,哈PDF201
羌村三首 // 0934 PDF218,哈PDF202
北征 // 0943 PDF219,哈PDF203
行次昭陵 // 0184 PDF222,哈PDF206
重經昭陵 // 0199 PDF224,哈PDF208
彭衙行 // 0925 PDF224,哈PDF208
喜聞官軍已臨賊境二十韻 // 0972 PDF225,哈PDF209
收京三首 // 0979 P27DF227,哈PDF211
送鄭十八虔貶台州司戶傷其臨老陷賊之故闕爲面别情見於詩 // 0989 PDF229,哈PDF213
臘日 // 0994 PDF229,哈PDF214
奉和賈至舍人早朝大明宮 // 0998 PDF230,哈PDF214
宣政殿退朝晚出左掖 // 1013 PDF231,哈PDF215
紫宸殿退朝口號 // 1017 PDF232,哈PDF216
春宿左省 // 1021 PDF233,哈PDF217
晚出左掖 // 1025 PDF233,哈PDF217
題省中院壁 // 1028 PDF234,哈PDF218
送賈閣老出汝州 // 1034 PDF234,哈PDF218
送翰林張司馬南海勒碑 // 1037 PDF235,哈PDF219
曲江陪鄭八丈南史飲 // 1040 PDF235,哈PDF219
曲江二首 // 1045 PDF236,哈PDF219
曲江對酒 // 1052 PDF236,哈PDF220
曲江對雨 // 1058 PDF237,哈PDF221
奉陪鄭駙馬韋曲二首 // 1064 PDF238,哈PDF222
奉答岑參補闕見贈 // 1006 PDF239,哈PDF222
奉贈王中允維 // 1009 PDF239,哈PDF223
送許八拾遺歸江寧覲省甫昔時常客遊此縣於許生處乞瓦棺寺維摩圖樣志諸篇末 // 1069 PDF240,哈PDF224
因許八奉寄江寧旻上人 // 1075 PDF241,哈PDF225
題李尊師松樹障子歌 // 1079 PDF242,哈PDF225
得舍弟消息 // 1083 PDF242,哈PDF226
送李校書二十六韻 // 1085 PDF243,哈PDF226
偪側行贈畢曜 // 1095 PDF244,哈PDF228
贈畢四曜 // 1102 PDF245,哈PDF229
題鄭十八著作丈 // 1105 PDF246,哈PDF229
瘦馬行 // 1190 PDF247,哈PDF230
義鶻行 // 1110 PDF248,哈PDF231
畫鶻行 // 1118 PDF248,哈PDF232
端午日賜衣 // 1122 PDF249,哈PDF233
酬孟雲卿 // 1126 PDF249,哈PDF233

杜工部詩集卷之五
乾元中公出爲華州司功棄官客秦州作
至德二載甫自京金光門出間道歸鳳翔乾元初從左拾遺移華州掾與親故别因出此門有悲往事 // 1129 PDF250,哈PDF236
寄高三十五詹事 // 1135 PDF250,哈PDF237
題鄭縣亭子 // 1139 PDF251,哈PDF237
望岳 // 1144 PDF251,哈PDF238
早秋苦熱堆案相仍 // 1151 PDF252,哈PDF239
觀安西兵過赴關中待命二首 // 1156 PDF253,哈PDF239
九日藍田崔氏莊 // 1173 PDF253,哈PDF240
崔氏東山草堂 // 1183 PDF254,哈PDF241
遣興三首 // 1197 PDF255,哈PDF241
至日遣興奉寄北省舊閣老兩院故人二首 // 1204 PDF256,哈PDF242
洗兵馬 // 1252 PDF257,哈PDF243
畱花門 // 1164 PDF260,哈PDF246
路逢襄陽楊少府入城戲呈楊四員外綰 // 1212 PDF262,哈PDF248
贈衞八處士 // 1324 PDF262
冬末以事之東都湖城東遇孟雲卿復歸劉顥宅宿宴飲散因爲醉歌 // 1225 PDF263,哈PDF249
閿鄕姜七少府設鱠戲贈長歌 // 1216 PDF264,哈PDF250
戲贈閿鄕秦少府短歌 // 1222 PDF265,哈PDF251
李鄠縣丈人胡馬行 // 1230 PDF265,哈PDF251
憶弟二首 // 1233 PDF266,哈PDF252
得舍弟消息 // 1238 PDF267,哈PDF253
觀兵 // 1243 PDF267,哈PDF253
不歸 // 1245 PDF268,哈PDF254
獨立 // 1248 PDF268,哈PDF254
新安吏 // 1280 PDF268,哈PDF254
潼關吏 // 1294 PDF269,哈PDF255
石壕吏 // 1288 PDF270,哈PDF256
新婚别 // 1299 PDF271,哈PDF257
垂老别 // 1308 PDF272,哈PDF258
無家别 // 1316 PDF273,哈PDF258
夏日歎 // 1330 PDF273,哈PDF259
夏夜歎 // 1334 PDF274,哈PDF260
立秋後題 // 1338 PDF275,哈PDF261
貽阮隱居 // 1610 PDF275,哈PDF261
遣興三首 // 1340 PDF276,哈PDF261
昔遊 // 4110 PDF277,哈PDF262
佳人 // 1349 PDF278,哈PDF264
夢李白二首 // 1356 PDF279,哈PDF265
有懷台州鄭十八司戶 // 1366 PDF280,哈PDF265
遣興五首 // 1376 PDF280,哈PDF266
遣興二首 // 1390 PDF282,哈PDF268
遣興五首 // 1395 PDF283,哈PDF269
後出塞五首 // 0636 PDF285,哈PDF271

杜工部詩集卷之六
乾元中公客秦州作
秦州雜詩二十首 // 1405 PDF289,哈PDF280
月夜憶舍弟 // 1471 PDF296,哈PDF287
天末懷李白 // 1475 PDF297,哈PDF287
宿贊公房 // 1484 PDF297,哈PDF288
赤谷西崦人家 // 1481 PDF297,哈PDF288
西枝村尋置草堂地夜宿贊公土室二首 // 1488 PDF298,哈PDF288
寄贊上人 // 1498 PDF299,哈PDF289
太平寺泉眼 // 1503 PDF299,哈PDF290
東樓 // 1508 PDF300,哈PDF290
雨晴 // 1511 PDF300,哈PDF291
寓目 // 1514 PDF301,哈PDF291
山寺 // 1517 PDF301,哈PDF291
卽事 // 1521 PDF302,哈PDF292
遣懷 // 1524 PDF302,哈PDF293
天河 // 1527 PDF303,哈PDF293
初月 // 1532 PDF303,哈PDF293
擣衣 // 1536 PDF304,哈PDF294
歸鷰 // 1540 PDF304,哈PDF294
促織 // 1543 PDF304,哈PDF294
螢火 // 1546 PDF305,哈PDF294
蒹葭 // 1551 PDF305,哈PDF295
苦竹 // 1555 PDF305,哈PDF295
除架 // 1559 PDF305,哈PDF295
廢畦 // 1563 PDF306,哈PDF295
夕烽 // 1565 PDF306,哈PDF296
秋笛 // 1568 PDF306,哈PDF296
